"species","mass","temp","MR","mean.mass","q10smr"
"Gadus_morhua",286,11.5,17.2172,NA,NA
"Gadus_morhua",304,11.5,9.576,NA,NA
"Gadus_morhua",316,11.5,14.1568,NA,NA
"Gadus_morhua",334,12,32.732,NA,NA
"Gadus_morhua",350,15,20.58,NA,NA
"Gadus_morhua",353,12,19.2738,NA,NA
"Gadus_morhua",382,11.5,14.9744,NA,NA
"Gadus_morhua",440,11.5,28.644,NA,NA
"Gadus_morhua",464,12,32.8048,NA,NA
"Gadus_morhua",510,15,29.274,NA,NA
"Gadus_morhua",518,12,21.3934,NA,NA
"Gadus_morhua",518,12,38.4356,NA,NA
"Gadus_morhua",611,12,53.4625,NA,NA
"Gadus_morhua",645,12,50.568,NA,NA
"Gadus_morhua",700,15,36.75,NA,NA
"Gadus_morhua",720,12,26.712,NA,NA
"Gadus_morhua",803,12,41.0333,NA,NA
"Gadus_morhua",848,12,27.8992,NA,NA
"Gadus_morhua",947,12,35.1337,NA,NA
"Gadus_morhua",1000,12,39.2,NA,NA
"Gadus_morhua",1120,12,66.64,NA,NA
"Gadus_morhua",1140,5,31.122,NA,NA
"Gadus_morhua",1150,10,46.69,NA,NA
"Gadus_morhua",1440,15,63.504,NA,NA
"Gadus_morhua",1580,15,86.268,NA,NA
"Gadus_morhua",2200,15,109.34,NA,NA
"Gadus_morhua",2330,5,58.716,NA,NA
"Gadus_morhua",3030,10,116.655,287.5407,62.84377
"Gambusia_affinis",0.22,20,0.042042,NA,NA
"Gambusia_affinis",0.22,25,0.056056,NA,NA
"Gambusia_affinis",0.22,30,0.07007,0.22,0.104984
"Gillichthys_mirabilis",0.2,15,0.0196,NA,NA
"Gillichthys_mirabilis",0.34,15,0.023086,NA,NA
"Gillichthys_mirabilis",0.41,15,0.028987,NA,NA
"Gillichthys_mirabilis",0.48,15,0.027552,NA,NA
"Gillichthys_mirabilis",0.61,15,0.048251,NA,NA
"Gillichthys_mirabilis",0.63,15,0.027342,NA,NA
"Gillichthys_mirabilis",0.68,15,0.041412,NA,NA
"Gillichthys_mirabilis",0.91,15,0.045864,NA,NA
"Gillichthys_mirabilis",1.29,15,0.068628,NA,NA
"Gillichthys_mirabilis",1.8,15,0.06804,NA,NA
"Gillichthys_mirabilis",1.88,15,0.103964,NA,NA
"Gillichthys_mirabilis",2.11,15,0.112252,NA,NA
"Gillichthys_mirabilis",2.2,15,0.11858,NA,NA
"Gillichthys_mirabilis",2.4,15,0.0924,NA,NA
"Gillichthys_mirabilis",2.4,15,0.10752,NA,NA
"Gillichthys_mirabilis",2.89,15,0.147679,NA,NA
"Gillichthys_mirabilis",2.93,15,0.125111,NA,NA
