Tachyglossus_aculeatus
Zaglossus_bruijni
Ornithorhynchus_anatinus
Anomalurus_beecrofti
Anomalurus_derbianus
Anomalurus_pelii
Anomalurus_pusillus
Zenkerella_insignis
Idiurus_macrotis
Idiurus_zenkeri
Pedetes_capensis
Allactaga_elater
Allactaga_balikunica
Allactaga_bullata
Allactaga_euphratica
Allactaga_firouzi
Allactaga_hotsoni
Allactaga_major
Allactaga_severtzovi
Allactaga_sibirica
Allactaga_tetradactyla
Allactaga_vinogradovi
Allactodipus_bobrinskii
Paradipus_ctenodactylus
Euchoreutes_naso
Sicista_betulina
Sicista_tianshanica
Sicista_kazbegica
Sicista_armenica
Sicista_caucasica
Sicista_caudata
Sicista_concolor
Sicista_kluchorica
Sicista_napaea
Sicista_pseudonapaea
Sicista_severtzovi
Sicista_strandi
Sicista_subtilis
Dipus_sagitta
Eremodipus_lichtensteini
Jaculus_jaculus
Jaculus_blanfordi
Jaculus_orientalis
Jaculus_turcmenicus
Stylodipus_andrewsi
Stylodipus_sungorus
Stylodipus_telum
Napaeozapus_insignis
Eozapus_setchuanus
Zapus_hudsonius
Zapus_princeps
Zapus_trinotatus
Cardiocranius_paradoxus
Salpingotus_crassicauda
Salpingotus_heptneri
Salpingotus_kozlovi
Salpingotus_michaelis
Salpingotus_pallidus
Salpingotus_thomasi
Pygeretmus_pumilio
Pygeretmus_platyurus
Pygeretmus_shitkovi
Abditomys_latidens
Bullimus_bagobus
Bullimus_luzonicus
Limnomys_sibuanus
Tarsomys_apoensis
Tarsomys_echinatus
Tryphomys_adustus
Acomys_cahirinus
Acomys_cilicicus
Acomys_cinerasceus
Acomys_ignitus
Acomys_kempi
Acomys_minous
Acomys_mullah
Acomys_nesiotes
Acomys_percivali
Acomys_russatus
Acomys_spinosissimus
Acomys_subspinosus
Acomys_wilsoni
Acomys_louisae
Lophuromys_cinereus
Lophuromys_flavopunctatus
Lophuromys_luteogaster
Lophuromys_medicaudatus
Lophuromys_melanonyx
Lophuromys_nudicaudus
Lophuromys_rahmi
Lophuromys_sikapusi
Lophuromys_woosnami
Uranomys_ruddi
Aethomys_bocagei
Aethomys_chrysophilus
Aethomys_granti
Aethomys_hindei
Aethomys_kaiseri
Aethomys_namaquensis
