Higher-level clade (strict phylogenetic order),Traditional Order,Traditional Family,Species,log10 productivity,log10 mass,Nest type,Foraging habitat,Developmental mode,Time of activity,Social system,Migratory mode,Diet
Anseriformes,Anseriformes,Anatidae,Anas crecca,-0.119,2.534,open,freshwater,precocial,diurnal,Female only,migrant,vegetation
Anseriformes,Anseriformes,Anatidae,Anas gibberifrons,-0.27,2.689,open,freshwater,precocial,diurnal,Unknown,nonmigrant,vegetation
Anseriformes,Anseriformes,Anatidae,Anas acuta,-0.447,2.975,open,freshwater,precocial,diurnal,Female only,migrant,omnivore
Anseriformes,Anseriformes,Anatidae,Anas platyrhynchos,-0.229,2.926,open,freshwater,precocial,diurnal,Female only,migrant,omnivore
Anseriformes,Anseriformes,Anatidae,Anas rubripes,-0.332,3.094,open,freshwater,precocial,diurnal,Female only,migrant,vegetation
Anseriformes,Anseriformes,Anatidae,Anas querquedula,-0.137,2.513,open,freshwater,precocial,diurnal,Female only,migrant,invertebrate
Anseriformes,Anseriformes,Anatidae,Anas cyanoptera,-0.055,2.577,open,freshwater,precocial,diurnal,Female only,migrant,vegetation
Anseriformes,Anseriformes,Anatidae,Anas discors,-0.121,2.556,open,freshwater,precocial,diurnal,Female only,migrant,vegetation
Anseriformes,Anseriformes,Anatidae,Anas clypeata,-0.193,2.787,open,freshwater,precocial,diurnal,Female only,migrant,invertebrate
Anseriformes,Anseriformes,Anatidae,Marmaronetta angustirostris,-0.206,2.679,open,freshwater,precocial,diurnal,Female only,migrant,vegetation
Anseriformes,Anseriformes,Anatidae,Netta rufina,-0.349,3.048,open,freshwater,precocial,diurnal,Female only,migrant,vegetation
Anseriformes,Anseriformes,Anatidae,Aythya nyroca,-0.211,2.759,open,freshwater,precocial,diurnal,Female only,migrant,vegetation
Anseriformes,Anseriformes,Anatidae,Aythya affinis,-0.272,2.914,open,freshwater,precocial,diurnal,Female only,migrant,vegetation
Anseriformes,Anseriformes,Anatidae,Aythya marila,-0.247,3.002,open,freshwater,precocial,diurnal,Female only,migrant,invertebrate
Anseriformes,Anseriformes,Anatidae,Aythya fuligula,-0.149,2.846,open,freshwater,precocial,diurnal,Female only,migrant,vegetation
Anseriformes,Anseriformes,Anatidae,Aythya collaris,-0.189,2.848,open,freshwater,precocial,diurnal,Female only,migrant,vegetation
Anseriformes,Anseriformes,Anatidae,Aythya americana,-0.265,3.032,open,freshwater,precocial,diurnal,Female only,migrant,vegetation
Anseriformes,Anseriformes,Anatidae,Aythya ferina,-0.141,2.915,open,freshwater,precocial,diurnal,Female only,migrant,vegetation
Anseriformes,Anseriformes,Anatidae,Aythya valisineria,-0.27,3.08,open,freshwater,precocial,diurnal,Female only,migrant,vegetation
Anseriformes,Anseriformes,Anatidae,Pteronetta hartlaubii,-0.247,2.898,cavity,freshwater,precocial,diurnal,Pair,nonmigrant,invertebrate
Galliformes,Galliformes,Numididae,Numida meleagris,-0.594,3.114,open,terrestrial,precocial,diurnal,Pair,nonmigrant,omnivore
Galliformes,Galliformes,Phasianidae,Coturnix coturnix,0.115,1.984,open,terrestrial,precocial,diurnal,Pair,migrant,seed
Galliformes,Galliformes,Phasianidae,Francolinus francolinus,-0.381,2.655,open,terrestrial,precocial,diurnal,Pair,nonmigrant,seed
Galliformes,Galliformes,Phasianidae,Chrysolophus amherstiae,-0.562,2.865,open,terrestrial,precocial,diurnal,Female only,nonmigrant,vegetation
Galliformes,Galliformes,Phasianidae,Chrysolophus pictus,-0.427,2.744,open,terrestrial,precocial,diurnal,Unknown,nonmigrant,vegetation
Galliformes,Galliformes,Phasianidae,Phasianus colchicus,-0.555,3.049,open,terrestrial,precocial,diurnal,Female only,nonmigrant,vegetation
Galliformes,Galliformes,Meleagrididae,Meleagris gallopavo,-0.823,3.763,open,terrestrial,precocial,diurnal,Female only,nonmigrant,omnivore
Galliformes,Galliformes,Tetraodonidae,Bonasa umbellus,-0.384,2.725,open,terrestrial,precocial,diurnal,Female only,nonmigrant,vegetation
Galliformes,Galliformes,Tetraodonidae,Bonasa bonasia,-0.41,2.632,open,terrestrial,precocial,diurnal,Female only,nonmigrant,vegetation
Galliformes,Galliformes,Tetraodonidae,Lagopus leucurus,-0.504,2.55,open,terrestrial,precocial,diurnal,Pair,nonmigrant,vegetation
Galliformes,Galliformes,Tetraodonidae,Lagopus lagopus,-0.439,2.753,open,terrestrial,precocial,diurnal,Pair,migrant,vegetation
Galliformes,Galliformes,Tetraodonidae,Lagopus mutus,-0.627,2.729,open,terrestrial,precocial,diurnal,Pair,nonmigrant,vegetation
