Higher-level clade (strict phylogenetic order),Traditional Order,Traditional Family,Species,log10 productivity,log10 mass,Nest type,Foraging habitat,Developmental mode,Time of activity,Social system,Migratory mode,Diet
Gruiformes-Cuculiformes,Gruiformes,Gruidae,Grus nigricollis,-1.139,3.778,open,freshwater,semialtricial,diurnal,Pair,migrant,omnivore
Gruiformes-Cuculiformes,Gruiformes,Gruidae,Grus monacha,-1.096,3.572,open,freshwater,semialtricial,diurnal,Pair,migrant,omnivore
Gruiformes-Cuculiformes,Gruiformes,Gruidae,Grus americana,-1.138,3.765,open,freshwater,semialtricial,diurnal,Pair,migrant,invertebrate
Gruiformes-Cuculiformes,Gruiformes,Gruidae,Grus japonensis,-1.263,3.944,open,freshwater,semialtricial,diurnal,Pair,migrant,omnivore
Gruiformes-Cuculiformes,Gruiformes,Gruidae,Grus vipio,-1.052,3.669,open,freshwater,semialtricial,diurnal,Pair,migrant,omnivore
Gruiformes-Cuculiformes,Gruiformes,Gruidae,Grus rubicunda,-1.212,3.794,open,freshwater,semialtricial,diurnal,Pair,nonmigrant,omnivore
Gruiformes-Cuculiformes,Gruiformes,Gruidae,Grus antigone,-1.055,3.772,open,freshwater,semialtricial,diurnal,Pair,migrant,omnivore
Gaviiformes,Gaviiformes,Gaviidae,Gavia adamsii,-1.189,3.694,open,freshwater,semialtricial,diurnal,Pair,migrant,vertfishscav
Gaviiformes,Gaviiformes,Gaviidae,Gavia immer,-1.234,3.695,open,freshwater,semialtricial,diurnal,Pair,migrant,vertfishscav
Gaviiformes,Gaviiformes,Gaviidae,Gavia arctica,-1.027,3.352,open,freshwater,semialtricial,diurnal,Pair,migrant,vertfishscav
Gaviiformes,Gaviiformes,Gaviidae,Gavia stellata,-1.016,3.172,open,freshwater,semialtricial,diurnal,Pair,migrant,vertfishscav
Sphenisciformes,Sphenisciformes,Spheniscidae,Eudyptula minor,-0.851,3.044,cavity,pelagic,semialtricial,diurnal,Pair,nonmigrant,vertfishscav
Sphenisciformes,Sphenisciformes,Spheniscidae,Spheniscus humboldti,-1.264,3.64,cavity,pelagic,semialtricial,diurnal,Pair,nonmigrant,vertfishscav
Sphenisciformes,Sphenisciformes,Spheniscidae,Spheniscus demersus,-1.006,3.496,cavity,pelagic,semialtricial,diurnal,Pair,migrant,vertfishscav
Sphenisciformes,Sphenisciformes,Spheniscidae,Spheniscus magellanicus,-1.205,3.613,cavity,pelagic,semialtricial,diurnal,Pair,migrant,vertfishscav
Sphenisciformes,Sphenisciformes,Spheniscidae,Eudyptes sclateri,-1.376,3.77,open,pelagic,semialtricial,diurnal,Pair,migrant,invertebrate
Sphenisciformes,Sphenisciformes,Spheniscidae,Eudyptes pachyrhynchus,-1.249,3.592,open,pelagic,semialtricial,diurnal,Pair,migrant,invertebrate
Sphenisciformes,Sphenisciformes,Spheniscidae,Eudyptes chrysolophus,-1.198,3.652,open,pelagic,semialtricial,diurnal,Pair,nonmigrant,invertebrate
Sphenisciformes,Sphenisciformes,Spheniscidae,Eudyptes schlegeli,-1.151,3.628,open,pelagic,semialtricial,diurnal,Pair,nonmigrant,invertebrate
Sphenisciformes,Sphenisciformes,Spheniscidae,Megadyptes antipodes,-1.286,3.726,open,pelagic,semialtricial,diurnal,Pair,migrant,vertfishscav
Sphenisciformes,Sphenisciformes,Spheniscidae,Pygoscelis adeliae,-1.316,3.686,open,pelagic,semialtricial,diurnal,Pair,migrant,invertebrate
Sphenisciformes,Sphenisciformes,Spheniscidae,Pygoscelis antarctica,-1.295,3.618,open,pelagic,semialtricial,diurnal,Pair,migrant,invertebrate
Sphenisciformes,Sphenisciformes,Spheniscidae,Pygoscelis papua,-1.332,3.773,open,pelagic,semialtricial,diurnal,Pair,migrant,invertebrate
Sphenisciformes,Sphenisciformes,Spheniscidae,Aptenodytes forsteri,-1.878,4.526,open,pelagic,semialtricial,diurnal,Pair,migrant,vertfishscav
Procellariiformes,Procellariiformes,Hydrobatidae,Nesofregetta fuliginosa,-0.548,1.845,cavity,pelagic,altricial,diurnal,Pair,nonmigrant,invertebrate
Procellariiformes,Procellariiformes,Hydrobatidae,Fregetta tropica,-0.595,1.716,cavity,pelagic,altricial,diurnal,Pair,nonmigrant,invertebrate
Procellariiformes,Procellariiformes,Hydrobatidae,Fregetta grallaria,-0.625,1.704,cavity,pelagic,altricial,diurnal,Pair,nonmigrant,invertebrate
Procellariiformes,Procellariiformes,Hydrobatidae,Oceanites oceanicus,-0.483,1.483,cavity,pelagic,altricial,diurnal,Pair,nonmigrant,invertebrate
Procellariiformes,Procellariiformes,Hydrobatidae,Pelagodroma marina,-0.595,1.674,cavity,pelagic,altricial,diurnal,Pair,migrant,invertebrate
Procellariiformes,Procellariiformes,Hydrobatidae,Garrodia nereis,-0.628,1.582,cavity,pelagic,altricial,diurnal,Pair,nonmigrant,invertebrate
Procellariiformes,Procellariiformes,Procellariidae,Pelecanoides urinatrix,-0.836,2.182,cavity,pelagic,altricial,nocturnal,Pair,nonmigrant,invertebrate
Procellariiformes,Procellariiformes,Procellariidae,Pelecanoides georgicus,-0.777,2.083,cavity,pelagic,altricial,nocturnal,Pair,nonmigrant,invertebrate
Procellariiformes,Procellariiformes,Procellariidae,Pelecanoides magellani,-0.805,2.127,cavity,pelagic,altricial,nocturnal,Pair,nonmigrant,invertebrate
Procellariiformes,Procellariiformes,Procellariidae,Pterodroma macroptera,-0.823,2.726,cavity,pelagic,altricial,nocturnal,Pair,nonmigrant,invertebrate
Procellariiformes,Procellariiformes,Procellariidae,Pterodroma mollis,-0.72,2.494,cavity,pelagic,altricial,nocturnal,Pair,nonmigrant,invertebrate
Procellariiformes,Procellariiformes,Procellariidae,Pterodroma leucoptera,-0.611,2.167,open,pelagic,altricial,nocturnal,Pair,nonmigrant,invertebrate
Procellariiformes,Procellariiformes,Procellariidae,Pterodroma hypoleuca,-0.727,2.246,cavity,pelagic,altricial,nocturnal,Pair,nonmigrant,vertfishscav
Procellariiformes,Procellariiformes,Procellariidae,Pterodroma inexpectata,-0.714,2.5,cavity,pelagic,altricial,nocturnal,Pair,migrant,invertebrate
Procellariiformes,Procellariiformes,Procellariidae,Pterodroma baraui,-0.824,2.602,cavity,pelagic,altricial,nocturnal,Pair,nonmigrant,vertfishscav
Procellariiformes,Procellariiformes,Procellariidae,Pterodroma phaeopygia,-0.717,2.603,cavity,pelagic,altricial,nocturnal,Pair,nonmigrant,invertebrate
Procellariiformes,Procellariiformes,Procellariidae,Pterodroma externa,-0.745,2.631,cavity,pelagic,altricial,nocturnal,Pair,nonmigrant,invertebrate
Procellariiformes,Procellariiformes,Procellariidae,Pterodroma neglecta,-0.849,2.7,open,pelagic,altricial,nocturnal,Pair,nonmigrant,invertebrate
Procellariiformes,Procellariiformes,Procellariidae,Pterodroma alba,-0.665,2.413,open,pelagic,altricial,nocturnal,Pair,nonmigrant,invertebrate
Procellariiformes,Procellariiformes,Procellariidae,Procellaria westlandica,-0.965,3.079,cavity,pelagic,altricial,nocturnal,Pair,nonmigrant,invertebrate
Procellariiformes,Procellariiformes,Procellariidae,Procellaria cinerea,-1.012,3.053,cavity,pelagic,altricial,nocturnal,Pair,nonmigrant,invertebrate
Procellariiformes,Procellariiformes,Procellariidae,Procellaria aequinoctialis,-0.99,3.084,cavity,pelagic,altricial,nocturnal,Pair,nonmigrant,invertebrate
Procellariiformes,Procellariiformes,Procellariidae,Puffinus gravis,-0.92,2.929,cavity,pelagic,altricial,nocturnal,Pair,nonmigrant,vertfishscav
Procellariiformes,Procellariiformes,Procellariidae,Puffinus griseus,-0.918,2.896,cavity,pelagic,altricial,nocturnal,Pair,migrant,vertfishscav
Procellariiformes,Procellariiformes,Procellariidae,Puffinus carneipes,-0.876,2.785,cavity,pelagic,altricial,nocturnal,Pair,nonmigrant,invertebrate
Procellariiformes,Procellariiformes,Procellariidae,Puffinus tenuirostris,-0.834,2.747,cavity,pelagic,altricial,nocturnal,Pair,migrant,vertfishscav
Procellariiformes,Procellariiformes,Procellariidae,Puffinus pacificus,-0.825,2.589,cavity,pelagic,altricial,nocturnal,Pair,migrant,vertfishscav
Procellariiformes,Procellariiformes,Procellariidae,Puffinus bulleri,-0.824,2.61,cavity,pelagic,altricial,nocturnal,Pair,nonmigrant,vertfishscav
Procellariiformes,Procellariiformes,Procellariidae,Puffinus huttoni,-0.716,2.561,cavity,pelagic,altricial,nocturnal,Pair,nonmigrant,vertfishscav
Procellariiformes,Procellariiformes,Procellariidae,Puffinus assimilis,-0.849,2.354,cavity,pelagic,altricial,nocturnal,Pair,migrant,invertebrate
Procellariiformes,Procellariiformes,Procellariidae,Puffinus lherminieri,-0.741,2.285,cavity,pelagic,altricial,nocturnal,Pair,migrant,vertfishscav
Procellariiformes,Procellariiformes,Procellariidae,Puffinus puffinus,-0.893,2.656,cavity,pelagic,altricial,nocturnal,Pair,nonmigrant,vertfishscav
Procellariiformes,Procellariiformes,Procellariidae,Puffinus nativitatis,-0.752,2.551,cavity,pelagic,altricial,nocturnal,Pair,migrant,vertfishscav
Procellariiformes,Procellariiformes,Procellariidae,Calonectris diomedea,-0.711,2.728,cavity,pelagic,altricial,nocturnal,Pair,nonmigrant,vertfishscav
Procellariiformes,Procellariiformes,Procellariidae,Calonectris leucomelas,-0.918,2.763,cavity,pelagic,altricial,nocturnal,Pair,nonmigrant,vertfishscav
Procellariiformes,Procellariiformes,Procellariidae,Bulweria bulwerii,-0.673,1.996,cavity,pelagic,altricial,nocturnal,Pair,nonmigrant,vertfishscav
Procellariiformes,Procellariiformes,Procellariidae,Pachyptila belcheri,-0.67,2.161,cavity,pelagic,altricial,nocturnal,Pair,nonmigrant,invertebrate
Procellariiformes,Procellariiformes,Procellariidae,Pachyptila turtur,-0.757,2.137,cavity,pelagic,altricial,nocturnal,Pair,nonmigrant,invertebrate
Procellariiformes,Procellariiformes,Procellariidae,Pachyptila vittata,-0.78,2.292,cavity,pelagic,altricial,nocturnal,Pair,migrant,invertebrate
Procellariiformes,Procellariiformes,Procellariidae,Pachyptila desolata,-0.651,2.167,cavity,pelagic,altricial,nocturnal,Pair,nonmigrant,invertebrate
Procellariiformes,Procellariiformes,Procellariidae,Halobaena caerulea,-0.761,2.305,cavity,pelagic,altricial,nocturnal,Pair,migrant,invertebrate
Procellariiformes,Procellariiformes,Procellariidae,Daption capense,-0.827,2.633,open,pelagic,altricial,nocturnal,Pair,migrant,invertebrate
Procellariiformes,Procellariiformes,Procellariidae,Fulmarus glacialis,-0.782,2.787,open,pelagic,altricial,diurnal,Pair,migrant,vertfishscav
Procellariiformes,Procellariiformes,Procellariidae,Fulmarus glacialoides,-0.887,2.9,open,pelagic,altricial,diurnal,Pair,migrant,invertebrate
Procellariiformes,Procellariiformes,Procellariidae,Macronectes giganteus,-1.164,3.555,open,pelagic,altricial,nocturnal,Pair,migrant,vertfishscav
Procellariiformes,Procellariiformes,Procellariidae,Macronectes halli,-1.233,3.624,open,pelagic,altricial,nocturnal,Pair,migrant,vertfishscav
Procellariiformes,Procellariiformes,Procellariidae,Thalassoica antarctica,-0.873,2.85,open,pelagic,altricial,nocturnal,Pair,migrant,invertebrate
Procellariiformes,Procellariiformes,Procellariidae,Pagodroma nivea,-0.756,2.428,open,pelagic,altricial,nocturnal,Pair,nonmigrant,invertebrate
Procellariiformes,Procellariiformes,Hydrobatidae,Hydrobates pelagicus,-0.569,1.401,cavity,pelagic,altricial,diurnal,Pair,nonmigrant,vertfishscav
Procellariiformes,Procellariiformes,Hydrobatidae,Oceanodroma furcata,-0.676,1.776,cavity,pelagic,altricial,diurnal,Pair,nonmigrant,invertebrate
Procellariiformes,Procellariiformes,Hydrobatidae,Oceanodroma tethys,-0.598,1.354,cavity,pelagic,altricial,diurnal,Pair,migrant,vertfishscav
Procellariiformes,Procellariiformes,Hydrobatidae,Oceanodroma melania,-0.649,1.789,cavity,pelagic,altricial,diurnal,Pair,nonmigrant,invertebrate
Procellariiformes,Procellariiformes,Hydrobatidae,Oceanodroma leucorhoa,-0.587,1.565,cavity,pelagic,altricial,diurnal,Pair,nonmigrant,vertfishscav
Procellariiformes,Procellariiformes,Hydrobatidae,Oceanodroma homochroa,-0.648,1.567,cavity,pelagic,altricial,diurnal,Pair,nonmigrant,invertebrate
Procellariiformes,Procellariiformes,Hydrobatidae,Oceanodroma monorhis,-0.655,1.6,cavity,pelagic,altricial,diurnal,Pair,nonmigrant,vertfishscav
Procellariiformes,Procellariiformes,Hydrobatidae,Oceanodroma castro,-0.686,1.664,cavity,pelagic,altricial,diurnal,Pair,migrant,invertebrate
Procellariiformes,Procellariiformes,Diomedeidae,Diomedea exulans,-1.483,3.843,open,pelagic,altricial,diurnal,Pair,migrant,invertebrate
Procellariiformes,Procellariiformes,Diomedeidae,Diomedea cauta,-1.492,3.591,open,pelagic,altricial,diurnal,Pair,migrant,invertebrate
Procellariiformes,Procellariiformes,Diomedeidae,Diomedea bulleri,-1.034,3.444,open,pelagic,altricial,diurnal,Pair,migrant,invertebrate
Procellariiformes,Procellariiformes,Diomedeidae,Diomedea chrysostoma,-1.404,3.544,open,pelagic,altricial,diurnal,Pair,migrant,invertebrate
Procellariiformes,Procellariiformes,Diomedeidae,Diomedea melanophris,-1.091,3.506,open,pelagic,altricial,diurnal,Pair,migrant,invertebrate
Procellariiformes,Procellariiformes,Diomedeidae,Diomedea chlororhynchos,-1.006,3.328,open,pelagic,altricial,diurnal,Pair,migrant,invertebrate
Procellariiformes,Procellariiformes,Diomedeidae,Phoebetria fusca,-1.321,3.407,open,pelagic,altricial,diurnal,Pair,migrant,invertebrate
Procellariiformes,Procellariiformes,Diomedeidae,Phoebetria palpebrata,-1.384,3.498,open,pelagic,altricial,diurnal,Pair,migrant,invertebrate
Procellariiformes,Procellariiformes,Diomedeidae,Diomedea epomophora,-1.602,3.95,open,pelagic,altricial,diurnal,Pair,migrant,invertebrate
Procellariiformes,Procellariiformes,Diomedeidae,Diomedea nigripes,-1.04,3.504,open,pelagic,altricial,diurnal,Pair,migrant,vertfishscav
Procellariiformes,Procellariiformes,Diomedeidae,Diomedea immutabilis,-1.052,3.498,open,pelagic,altricial,diurnal,Pair,migrant,invertebrate
Procellariiformes,Procellariiformes,Diomedeidae,Diomedea irrorata,-1.075,3.528,open,pelagic,altricial,diurnal,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Ciconiidae,Leptoptilos crumeniferus,-1.342,3.783,open,terrestrial,altricial,diurnal,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Ciconiidae,Ephippiorhynchus senegalensis,-1.276,3.789,open,freshwater,altricial,diurnal,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Ciconiidae,Ciconia ciconia,-1.069,3.537,open,terrestrial,altricial,diurnal,Occasional,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Ciconiidae,Ciconia abdimii,-0.993,3.146,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Ciconiiformes,Ciconiiformes,Ciconiidae,Ciconia episcopus,-1.122,3.314,open,freshwater,altricial,diurnal,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Ciconiidae,Ciconia nigra,-0.992,3.466,open,freshwater,altricial,diurnal,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Ciconiidae,Mycteria americana,-1.004,3.407,open,freshwater,altricial,diurnal,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Ciconiidae,Anastomus lamelligerus,-0.835,3.034,open,freshwater,altricial,diurnal,Pair,migrant,invertebrate
Ciconiiformes,Ciconiiformes,Ciconiidae,Mycteria ibis,-1.058,3.334,open,freshwater,altricial,diurnal,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Pelecanidae,Pelecanus erythrorhynchos,-1.272,3.749,open,freshwater/marine,altricial,diurnal,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Pelecanidae,Pelecanus occidentalis,-1.142,3.535,open,freshwater/marine,altricial,diurnal,Pair,nonmigrant,vertfishscav
Ciconiiformes,Ciconiiformes,Pelecanidae,Pelecanus rufescens,-1.416,3.734,open,freshwater,altricial,diurnal,Pair,nonmigrant,vertfishscav
Ciconiiformes,Ciconiiformes,Pelecanidae,Pelecanus crispus,-1.41,3.978,open,freshwater/marine,altricial,diurnal,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Pelecanidae,Pelecanus onocrotalus,-1.476,3.97,open,freshwater,altricial,diurnal,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Pelecanidae,Balaeniceps rex,-1.32,3.774,open,freshwater,altricial,diurnal,Pair,nonmigrant,vertfishscav
Ciconiiformes,Ciconiiformes,Threskiornithidae,Platalea ajaja,-0.952,3.173,open,freshwater,altricial,diurnal,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Threskiornithidae,Platalea leucorodia,-0.851,3.271,open,freshwater,altricial,diurnal,Pair,migrant,invertebrate
Ciconiiformes,Ciconiiformes,Threskiornithidae,Geronticus eremita,-0.796,3.08,open,terrestrial,altricial,diurnal,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Threskiornithidae,Threskiornis aethiopicus,-0.993,3.174,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Ciconiiformes,Ciconiiformes,Threskiornithidae,Plegadis falcinellus,-0.711,2.797,open,freshwater,altricial,diurnal,Pair,migrant,invertebrate
Ciconiiformes,Ciconiiformes,Ardeidae,Ardea melanocephala,-0.708,3.025,open,freshwater,altricial,diurnal,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Ardeidae,Ardea goliath,-1.136,3.65,open,freshwater,altricial,diurnal,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Ardeidae,Ardea cinerea,-0.793,3.159,open,freshwater,altricial,diurnal,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Ardeidae,Ardea herodias,-1.037,3.402,open,freshwater,altricial,diurnal,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Ardeidae,Ardea purpurea,-0.735,3.027,open,freshwater,altricial,crepuscular,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Ardeidae,Egretta thula,-0.654,2.569,open,freshwater,altricial,diurnal,Pair,migrant,invertebrate
Ciconiiformes,Ciconiiformes,Ardeidae,Butorides striatus,-0.472,2.304,open,freshwater,altricial,crepuscular,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Ardeidae,Ardeola bacchus,-0.351,2.484,open,freshwater,altricial,diurnal,Pair,migrant,invertebrate
Ciconiiformes,Ciconiiformes,Ardeidae,Ardeola ralloides,-0.681,2.458,open,freshwater,altricial,crepuscular,Pair,migrant,invertebrate
Ciconiiformes,Ciconiiformes,Ardeidae,Gorsachius goisagi,-0.45,2.722,open,freshwater,altricial,nocturnal,Pair,migrant,invertebrate
Ciconiiformes,Ciconiiformes,Ardeidae,Nycticorax nycticorax,-0.789,2.908,open,freshwater,altricial,nocturnal,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Ardeidae,Ixobrychus minutus,-0.256,1.998,open,freshwater,altricial,diurnal,Pair,migrant,invertebrate
Ciconiiformes,Ciconiiformes,Ardeidae,Ixobrychus sinensis,0.085,1.975,open,freshwater,altricial,nocturnal,Pair,migrant,invertebrate
Ciconiiformes,Ciconiiformes,Ardeidae,Ixobrychus flavicollis,-0.146,2.507,open,freshwater,altricial,crepuscular,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Ardeidae,Botaurus lentiginosus,-0.719,2.849,open,freshwater,altricial,nocturnal,Female only,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Ardeidae,Botaurus stellaris,-0.836,3.12,open,freshwater,altricial,crepuscular,Female only,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Ardeidae,Ixobrychus exilis,-0.041,1.936,open,freshwater,altricial,crepuscular,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Ardeidae,Egretta garzetta,-0.507,2.494,open,freshwater,altricial,diurnal,Pair,migrant,invertebrate
Ciconiiformes,Ciconiiformes,Fregatidae,Fregata aquila,-1.631,3.21,open,pelagic,altricial,diurnal,Pair,nonmigrant,vertfishscav
Ciconiiformes,Ciconiiformes,Fregatidae,Fregata magnificens,-1.54,3.173,open,pelagic,altricial,diurnal,Pair,nonmigrant,vertfishscav
Ciconiiformes,Ciconiiformes,Fregatidae,Fregata minor,-1.487,3.105,open,pelagic,altricial,diurnal,Pair,nonmigrant,vertfishscav
Ciconiiformes,Ciconiiformes,Fregatidae,Fregata andrewsi,-1.555,3.168,open,pelagic,altricial,diurnal,Pair,nonmigrant,vertfishscav
Ciconiiformes,Ciconiiformes,Fregatidae,Fregata ariel,-1.436,2.905,open,pelagic,altricial,diurnal,Pair,nonmigrant,vertfishscav
Ciconiiformes,Ciconiiformes,Sulidae,Sula dactylatra,-1.26,3.239,open,pelagic,altricial,diurnal,Pair,nonmigrant,vertfishscav
Ciconiiformes,Ciconiiformes,Sulidae,Sula leucogaster,-1.189,3.11,open,pelagic,altricial,diurnal,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Sulidae,Sula nebouxii,-1.049,3.182,open,pelagic,altricial,diurnal,Pair,nonmigrant,vertfishscav
Ciconiiformes,Ciconiiformes,Sulidae,Sula sula,-1.34,3.013,open,pelagic,altricial,diurnal,Pair,nonmigrant,vertfishscav
Ciconiiformes,Ciconiiformes,Sulidae,Sula capensis,-1.41,3.422,open,pelagic,altricial,diurnal,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Sulidae,Sula serrator,-1.389,3.371,open,pelagic,altricial,diurnal,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Sulidae,Sula bassana,-1.458,3.477,open,pelagic,altricial,diurnal,Pair,nonmigrant,vertfishscav
Ciconiiformes,Ciconiiformes,Phalacrocoracidae,Phalacrocorax verrucosus,-1.341,3.42,open,marine,altricial,diurnal,Pair,nonmigrant,vertfishscav
Ciconiiformes,Ciconiiformes,Phalacrocoracidae,Phalacrocorax gaimardi,-0.903,3.133,open,marine,altricial,diurnal,Pair,nonmigrant,vertfishscav
Ciconiiformes,Ciconiiformes,Phalacrocoracidae,Phalacrocorax bougainvillii,-1.25,3.395,open,marine,altricial,diurnal,Pair,nonmigrant,vertfishscav
Ciconiiformes,Ciconiiformes,Phalacrocoracidae,Phalacrocorax pelagicus,-1.103,3.266,open,marine,altricial,diurnal,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Phalacrocoracidae,Phalacrocorax urile,-0.984,3.326,open,marine,altricial,diurnal,Pair,nonmigrant,vertfishscav
Ciconiiformes,Ciconiiformes,Phalacrocoracidae,Phalacrocorax penicillatus,-1.1,3.347,open,marine,altricial,diurnal,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Phalacrocoracidae,Phalacrocorax capensis,-1.126,3.083,open,marine,altricial,diurnal,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Phalacrocoracidae,Phalacrocorax auritus,-1.036,3.257,open,freshwater,altricial,diurnal,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Phalacrocoracidae,Phalacrocorax aristotelis,-1.167,3.247,open,marine,altricial,diurnal,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Phalacrocoracidae,Phalacrocorax fuscescens,-1.158,3.18,open,marine,altricial,diurnal,Pair,nonmigrant,vertfishscav
Ciconiiformes,Ciconiiformes,Phalacrocoracidae,Phalacrocorax varius,-1.285,3.288,open,freshwater/marine,altricial,diurnal,Pair,nonmigrant,vertfishscav
Ciconiiformes,Ciconiiformes,Phalacrocoracidae,Phalacrocorax sulcirostris,-0.933,2.998,open,freshwater,altricial,diurnal,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Phalacrocoracidae,Phalacrocorax carbo,-1.139,3.403,open,freshwater,altricial,diurnal,Pair,migrant,vertfishscav
Ciconiiformes,Ciconiiformes,Phalacrocoracidae,Phalacrocorax neglectus,-1.378,3.289,open,marine,altricial,diurnal,Pair,nonmigrant,vertfishscav
Charadriiformes,Charadriiformes,Glareolidae,Cursorius cursor,-0.526,2.14,open,terrestrial,precocial,diurnal,Pair,migrant,invertebrate
Charadriiformes,Charadriiformes,Glareolidae,Glareola nordmanni,-0.407,1.988,open,terrestrial,precocial,diurnal,Pair,migrant,invertebrate
Charadriiformes,Charadriiformes,Glareolidae,Glareola pratincola,-0.461,1.929,open,terrestrial,precocial,diurnal,Pair,migrant,invertebrate
Charadriiformes,Charadriiformes,Charadriidae,Pluvianus aegyptius,-0.516,1.914,open,freshwater,precocial,diurnal,Pair,nonmigrant,invertebrate
Charadriiformes,Charadriiformes,Burhinidae,Burhinus oedicnemus,-0.594,2.662,open,terrestrial,precocial,nocturnal,Pair,migrant,invertebrate
Charadriiformes,Charadriiformes,Charadriidae,Pluvialis apricaria,-0.21,2.33,open,terrestrial,precocial,diurnal,Pair,migrant,invertebrate
Charadriiformes,Charadriiformes,Charadriidae,Pluvialis dominica,-0.149,2.18,open,terrestrial,precocial,diurnal,Pair,migrant,invertebrate
Charadriiformes,Charadriiformes,Charadriidae,Pluvialis squatarola,-0.262,2.398,open,terrestrial,precocial,diurnal,Pair,migrant,invertebrate
Charadriiformes,Charadriiformes,Charadriidae,Recurvirostra avosetta,-0.442,2.483,open,freshwater/marine,precocial,diurnal,Unknown,migrant,invertebrate
Charadriiformes,Charadriiformes,Charadriidae,Recurvirostra novaehollandiae,-0.398,2.512,open,freshwater/marine,precocial,diurnal,Unknown,nonmigrant,invertebrate
Charadriiformes,Charadriiformes,Charadriidae,Recurvirostra americana,-0.424,2.484,open,freshwater,precocial,diurnal,Pair,migrant,invertebrate
Charadriiformes,Charadriiformes,Charadriidae,Recurvirostra andina,-0.37,2.558,open,freshwater,precocial,diurnal,Pair,nonmigrant,invertebrate
Charadriiformes,Charadriiformes,Charadriidae,Himantopus himantopus,-0.307,2.248,open,freshwater,semialtricial,diurnal,Pair,migrant,invertebrate
Charadriiformes,Charadriiformes,Charadriidae,Haematopus ostralegus,-0.554,2.721,open,freshwater,semialtricial,diurnal,Cooperative,migrant,invertebrate
Charadriiformes,Charadriiformes,Charadriidae,Haematopus bachmani,-0.788,2.744,open,marine,semialtricial,diurnal,Unknown,nonmigrant,invertebrate
Charadriiformes,Charadriiformes,Charadriidae,Charadrius wilsonia,-0.171,1.741,open,freshwater/marine,precocial,diurnal,Pair,migrant,invertebrate
Charadriiformes,Charadriiformes,Charadriidae,Charadrius leschenaultii,-0.204,1.874,open,terrestrial,precocial,diurnal,Pair,migrant,invertebrate
Charadriiformes,Charadriiformes,Charadriidae,Charadrius mongolus,-0.236,1.806,open,freshwater,precocial,diurnal,Pair,migrant,invertebrate
Charadriiformes,Charadriiformes,Charadriidae,Charadrius asiaticus,-0.27,1.887,open,terrestrial,precocial,diurnal,Pair,migrant,invertebrate
Charadriiformes,Charadriiformes,Charadriidae,Charadrius montanus,0.015,1.981,open,terrestrial,precocial,diurnal,Male only,migrant,invertebrate
Charadriiformes,Charadriiformes,Charadriidae,Anarhynchus frontalis,-0.065,1.761,open,freshwater,precocial,diurnal,Pair,migrant,invertebrate
Charadriiformes,Charadriiformes,Charadriidae,Charadrius alexandrinus,-0.024,1.626,open,freshwater/marine,precocial,diurnal,Pair,migrant,invertebrate
Charadriiformes,Charadriiformes,Charadriidae,Charadrius pecuarius,-0.162,1.531,open,freshwater/marine,precocial,diurnal,Pair,nonmigrant,invertebrate
Charadriiformes,Charadriiformes,Charadriidae,Charadrius morinellus,-0.15,2.034,open,terrestrial,precocial,diurnal,Male only,migrant,invertebrate
